Feature.name	Flowers_Col0_Rep1	Flowers_dne1_3_11_Rep1_1	Flowers_dne1_3_11_Rep1_2	Seedling_Col0_Rep1	Seedling_Col0_Rep2	Seedling_Col0_Rep3	Seedling_xrn4_Rep1	Seedling_xrn4_Rep2	Seedling_xrn4_Rep3	Seedling_xrn4_dne1_Rep1	Seedling_xrn4_dne1_Rep2	Seedling_xrn4_dne1_Rep3	dne1_3_11...Col0	xrn4...Col0	xrn4_dne1...Col0	xrn4_dne1...xrn4	ensembl_transcript_id	description	external_gene_name
AT2G37220.1	7.02479338842975	2.96803652968037	3.30988829127017	5.71428571428571	3.43580470162749	2.22222222222222	11.0655737704918	9.47521865889213	9.19661733615222	6.27062706270627	5.40540540540541	5.71095571095571	0	3.22271200159549e-05	0.302549918301204	0.020340607303865	AT2G37220.1	RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:818299]	AT2G37220
AT2G37250.1	4.71204188481675	3.73406193078324	4.97630331753555	6.23052959501558	6.97674418604651	6	12.3310810810811	11.6981132075472	9.61832061068702	9.46502057613169	8.02348336594912	9.03010033444816	0.97222875914181	1.55279439754664e-08	0.00968447290360964	0.0348144228892729	AT2G37250.1	adenosine kinase [Source:NCBI gene (formerly Entrezgene);Acc:818302]	ADK
AT2G43530.1	3.07971014492754	4.29715950473416	3.46534653465347	2.37529691211401	1.89349112426035	1.89655172413793	4.33705080545229	4.05156537753223	3.44827586206897	2.79329608938547	3.29512893982808	3.01857585139319	0.662796128992223	6.55805574861614e-10	0.00242545816119619	0.0258448839155686	AT2G43530.1	scorpion toxin-like knottin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:818954]	AT2G43530
AT3G08640.1	6.43863179074447	6.04229607250755	7.22433460076046	8	6.70731707317073	7.40740740740741	15.979381443299	15.8054711246201	15.6351791530945	9.85074626865672	7.59162303664921	11.3490364025696	0.987309034732101	4.14224210487646e-13	0.124454413458694	7.39344886198037e-07	AT3G08640.1	alphavirus core family protein (DUF3411) [Source:NCBI gene (formerly Entrezgene);Acc:820011]	AT3G08640
AT3G08710.1	7.07070707070707	12.1149897330595	7.42049469964664	4.10958904109589	2.17391304347826	6.45161290322581	13.4969325153374	13.5593220338983	14.9193548387097	6.84931506849315	9.13978494623656	7.28155339805825	0.896277174914006	5.85594048936302e-07	0.0852149751117641	0.0071384803230832	AT3G08710.1	thioredoxin H-type 9 [Source:NCBI gene (formerly Entrezgene);Acc:820018]	TH9
AT3G10980.1	16.6666666666667	20.6730769230769	7.86516853932584	5.60747663551402	10.3448275862069	8.16326530612245	19.0909090909091	21.7777777777778	25	16.1417322834646	14.018691588785	12.7118644067797	0.986911689125891	9.1899940293597e-09	0.0120946898687689	0.0109868781674482	AT3G10980.1	PLAC8 family protein [Source:NCBI gene (formerly Entrezgene);Acc:820269]	AT3G10980
AT3G29320.1	6.47482014388489	9.53947368421053	5.91133004926108	7.8167115902965	5.9375	6.32054176072235	18.0246913580247	15.9250585480094	22.8682170542636	12.5269978401728	12.3102866779089	11.0887096774194	0.953896360742009	3.0426702823938e-11	0.00417178332716719	0.00184459379491959	AT3G29320.1	Glycosyl transferase, family 35 [Source:NCBI gene (formerly Entrezgene);Acc:822590]	PHS1
AT3G53570.1	10.1123595505618	10.5263157894737	7.5	10.4651162790698	8.10810810810811	4.34782608695652	19.6581196581197	25.3968253968254	26.1904761904762	16.2162162162162	13.2911392405063	13.5416666666667	0.953804864451854	2.30925098203094e-07	0.0359109659159877	0.0135563609036004	AT3G53570.1	serine/threonine-protein kinase AFC1 [Source:NCBI gene (formerly Entrezgene);Acc:824525]	FC1
AT3G56720.3	10.7344632768362	10.3260869565217	6.9364161849711	3.36134453781513	4.93273542600897	5.29801324503311	10.7883817427386	15.4811715481172	13.7096774193548	9.86394557823129	7.3394495412844	9.2	0.896220979886419	1.06447591376636e-08	0.00478994654067418	0.024448640354904	AT3G56720.3	pre-mRNA-splicing factor [Source:NCBI gene (formerly Entrezgene);Acc:824839]	AT3G56720
AT3G60750.1	7.34632683658171	6.78642714570858	5.58035714285714	8.19512195121951	7.43756786102063	7.3972602739726	12.3024054982818	12.8576020572163	13.9664804469274	11.4626129827445	11.8864292589028	10.5583756345178	0.707927969804151	0	4.14273080734282e-10	0.0308937649763226	AT3G60750.1	Transketolase [Source:NCBI gene (formerly Entrezgene);Acc:825246]	AT3G60750
