Feature.name,Degradation_Tag,mean_prop_xrn4,mean_prop_xrn4_dne1,mean_cpm_xrn4,mean_cpm_xrn4_dne1
AT2G17560.1,Intact,0.939113811460518,0.934339880230921,132.712049257411,102.476851237333
AT2G18020.1,3'_truncated,0.0256467165530954,0.0216164890432043,6.53745247952597,7.49040899232178
AT2G18020.1,5'_truncated,0.089196337519044,0.0768236042292066,24.7286349224706,26.0555455965785
AT2G18020.1,Both_truncated,0.00102779658441276,0.000453349944629014,0.352077842932279,0.166047244389142
AT2G18020.1,Intact,0.884129149343448,0.90125767343117,321.027929005338,315.416202239222
AT2G18040.1,3'_truncated,0.00997812423651734,0.0143385938600126,2.13688589582432,2.67221743528877
AT2G18040.1,5'_truncated,0.0574456657055375,0.0544171618253104,12.724990855347,10.2057800733841
AT2G18040.1,Both_truncated,0.000552858035671362,0.000577034045008656,0.119511537074134,0.116633323143469
AT2G18040.1,Intact,0.932207638034164,0.931051899633007,202.32048872647,175.108819647588
AT2G18050.2,3'_truncated,0.00495642701525055,0.00417607293635279,0.627391466095593,0.517315414635872
AT2G18050.2,5'_truncated,0.0390084777872502,0.0474475479288328,4.83772581789989,5.68762441003937
AT2G18050.2,Both_truncated,0.00072463768115942,0,0.115816074807919,0
AT2G18050.2,Intact,0.95579354930378,0.948376379134814,120.367686610899,117.36655329048
AT2G18740.2,3'_truncated,0.00512779884692357,0.00540821715593817,0.738280257881892,0.577088678931307
AT2G18740.2,5'_truncated,0.0368821349150379,0.0352269834455948,4.35736486034909,3.67752607110316
AT2G18740.2,Both_truncated,0.0025349977436352,0.00393691685244819,0.343529513772718,0.41311685061751
AT2G18740.2,Intact,0.956300067742282,0.956740188163502,115.723384452755,99.4829991963322
AT2G19310.1,3'_truncated,0.00453847182437013,0.00213494351589396,0.698219830472356,0.263153278434655
AT2G19310.1,5'_truncated,0.119089499849916,0.141735071168259,17.8210627977075,17.8029989921152
AT2G19310.1,Both_truncated,0.0010487676979549,0.000820197102149077,0.231632149615838,0.105438596305359
AT2G19310.1,Intact,0.876022439093062,0.855583187247748,135.201199427237,107.420066528381
AT2G19730.2,3'_truncated,0.00652448484288137,0.00735877878754006,10.2944571857775,9.3830417536138
AT2G19730.2,5'_truncated,0.0255021625574807,0.0320307490561558,42.8121650892306,41.2650122272388
AT2G19730.2,Both_truncated,0.000184282176551676,0.000511968834621079,0.307387797014222,0.655021031508375
AT2G19730.2,Intact,0.967789070423086,0.960098503321683,1584.86724793276,1233.18065655256
AT2G19740.1,3'_truncated,0.00664849254271503,0.00570185743998065,1.88509811735235,1.38033446055366
AT2G19740.1,5'_truncated,0.0303643546790701,0.0290055344295369,8.83130353757396,7.03845987332092
AT2G19740.1,Both_truncated,0,0.000450653447498873,0,0.112049350119372
