Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT3G22380.1	-0.351501320131632	0.101392260933083	-3.46674703667588	0.000526797407349511	xrn4_dne1 - xrn4	0.0386187558985901	Seedling	0.150150780087105	0.109157094510365	0.0409936855767398	significant	decrease	Both_truncated
AT3G22790.1	-0.854840999601667	0.226692120273528	-3.77093389293907	0.000162637756747186	xrn4_dne1 - xrn4	0.0152698782723747	Seedling	0.172471334114496	0.082398036223764	0.0900732978907321	significant	decrease	Both_truncated
AT3G26080.1	0.8660835577327	0.193933093632741	4.46588842321485	7.97371609340125e-06	xrn4_dne1 - xrn4	0.00124773890720816	Seedling	0.0144785905293404	0.0332455078521941	0.0187669173228537	significant	increase	Both_truncated
AT3G29160.1	-0.926327508313693	0.0876939407224259	-10.5631871561772	0	xrn4_dne1 - xrn4	0	Seedling	0.0455104002434099	0.0188973344369747	0.0266130658064353	significant	decrease	Both_truncated
AT3G43220.1	0.766875925648473	0.133766888892643	5.7329278717392	9.87116188788661e-09	xrn4_dne1 - xrn4	5.95795128233156e-06	Seedling	0.0402183659738637	0.0833022851465474	0.0430839191726838	significant	increase	Both_truncated
AT3G51290.2	0.846840156007265	0.242637519980444	3.4901451188403	0.00048275831930833	xrn4_dne1 - xrn4	0.0370846163468671	Seedling	0.440353285173719	0.643881368835413	0.203528083661694	significant	increase	Both_truncated
AT3G53130.1	0.831705512664311	0.185773048192628	4.4769977171388	7.57000586704137e-06	xrn4_dne1 - xrn4	0.00123012595339422	Seedling	0.0163027686865415	0.0363128022691488	0.0200100335826072	significant	increase	Both_truncated
AT3G59780.1	-0.725869493055942	0.214594624717639	-3.38251479509811	0.000718254088824866	xrn4_dne1 - xrn4	0.0459791443225009	Seedling	0.0545894885997084	0.0268070861476478	0.0277824024520606	significant	decrease	Both_truncated
AT3G60320.1	-0.994196387261092	0.290881310469331	-3.41787647221809	0.000631117437677853	xrn4_dne1 - xrn4	0.0423249392728401	Seedling	0.338814308229202	0.153231656184486	0.185582652044715	significant	decrease	Both_truncated
AT4G02400.1	-1.23289792393488	0.282790621364128	-4.35975534827718	1.30207935575832e-05	xrn4_dne1 - xrn4	0.00175654807459732	Seedling	0.121794871794872	0.0388447991007621	0.0829500726941097	significant	decrease	Both_truncated
AT4G05150.1	-0.26386621668372	0.048113149589687	-5.48428483551779	4.15145420262775e-08	xrn4_dne1 - xrn4	1.63734949845925e-05	Seedling	0.0957270956052993	0.075660581940873	0.0200665136644262	significant	decrease	Both_truncated
AT4G17140.1	-0.294988650529336	0.0524814878926463	-5.62081340248491	1.90060467364361e-08	xrn4_dne1 - xrn4	1.00375684326803e-05	Seedling	0.343553919428288	0.279581986483024	0.0639719329452639	significant	decrease	Both_truncated
AT4G17890.1	1.04281218192857	0.275440558241369	3.78597904602978	0.000153104576402718	xrn4_dne1 - xrn4	0.0147015189841247	Seedling	0.00558452456101008	0.016188966235315	0.0106044416743049	significant	increase	Both_truncated
AT4G22510.2	0.672767908551556	0.158146376713549	4.25408360616534	2.09906868324783e-05	xrn4_dne1 - xrn4	0.00260840152550649	Seedling	0.0477600347113265	0.0897280150060686	0.0419679802947421	significant	increase	Both_truncated
AT4G25370.1	-0.65531153346255	0.131639497435246	-4.97807684038675	6.42191625876976e-07	xrn4_dne1 - xrn4	0.000150736645518346	Seedling	0.0135376980444719	0.00725483489482272	0.00628286314964922	significant	decrease	Both_truncated
AT4G31210.2	0.863120969573319	0.126656728047301	6.81464761391104	9.44955225179456e-12	xrn4_dne1 - xrn4	7.9848716527664e-09	Seedling	0.0373945092298012	0.0843103917016961	0.0469158824718949	significant	increase	Both_truncated
AT4G35560.1	1.18305662855387	0.194802041476437	6.0731223327399	1.25446808496577e-09	xrn4_dne1 - xrn4	8.8335460983006e-07	Seedling	0.0498138472930722	0.156944444444444	0.107130597151372	significant	increase	Both_truncated
AT4G35850.1	-0.611964398576046	0.171484612257604	-3.56862572401978	0.000358858640742143	xrn4_dne1 - xrn4	0.0286071274931237	Seedling	0.0134798785729637	0.007398304190633	0.00608157438233067	significant	decrease	Both_truncated
AT4G38970.1	0.496845343217247	0.0930857836336688	5.33749971072424	9.42370532719394e-08	xrn4_dne1 - xrn4	3.31792958394953e-05	Seedling	0.00405194963032128	0.00647166576331898	0.0024197161329977	significant	increase	Both_truncated
AT5G07250.1	-0.952594274587174	0.200204366049053	-4.75810939284798	1.95414594394983e-06	xrn4_dne1 - xrn4	0.000393155553008953	Seedling	0.0297843904005915	0.0115752691734901	0.0182091212271015	significant	decrease	Both_truncated
AT5G08010.1	0.712674693663774	0.147135807554645	4.84365230672413	1.27473922195698e-06	xrn4_dne1 - xrn4	0.000269288660638412	Seedling	0.0186862587224906	0.0364450085444561	0.0177587498219655	significant	increase	Both_truncated
AT5G14930.2	-0.716109937561654	0.19275777695081	-3.71507676053143	0.000203142018164515	xrn4_dne1 - xrn4	0.0178807297238557	Seedling	0.136904333645106	0.0687708823895244	0.068133451255582	significant	decrease	Both_truncated
AT5G15170.1	0.72752416725919	0.153507776899664	4.73933100949482	2.14424977973415e-06	xrn4_dne1 - xrn4	0.000411793423608036	Seedling	0.0433384221490705	0.0830797512032654	0.0397413290541949	significant	increase	Both_truncated
AT5G25220.1	-1.12615725768805	0.221666820724344	-5.08040515043293	3.76630748144535e-07	xrn4_dne1 - xrn4	9.36038182888624e-05	Seedling	0.0370171131003824	0.0127781504632406	0.0242389626371417	significant	decrease	Both_truncated
AT5G26610.1	-1.05885573418486	0.217541036746232	-4.86738387396787	1.13085239639155e-06	xrn4_dne1 - xrn4	0.000251465861829173	Seedling	0.0126028004031318	0.00436347956663722	0.00823932083649459	significant	decrease	Both_truncated
AT5G35210.1	-0.79142142329762	0.151967588307607	-5.20783038088132	1.91061453103103e-07	xrn4_dne1 - xrn4	5.76596170971864e-05	Seedling	0.32659632034632	0.183719847695558	0.142876472650762	significant	decrease	Both_truncated
AT5G38480.1	1.43750327039267	0.171177455266086	8.3977371211539	0	xrn4_dne1 - xrn4	0	Seedling	0.000815905905381648	0.00357979381155518	0.00276388790617353	significant	increase	Both_truncated
AT5G43700.1	-0.875044865794021	0.258278677766451	-3.38798724448049	0.000704075385885128	xrn4_dne1 - xrn4	0.0457649000825333	Seedling	0.00228843060738092	0.00109404698716702	0.00119438362021391	significant	decrease	Both_truncated
AT5G44190.2	-1.11043564250392	0.271911907118455	-4.08380660586583	4.43039065840534e-05	xrn4_dne1 - xrn4	0.00534811443764644	Seedling	0.0262961819200348	0.00884605076628897	0.0174501311537459	significant	decrease	Both_truncated
AT5G44240.2	0.725137606996671	0.209648133690252	3.45883168255644	0.000542523825395547	xrn4_dne1 - xrn4	0.0388090327496417	Seedling	0.0963564213564213	0.185457838772604	0.089101417416183	significant	increase	Both_truncated
AT5G44290.1	1.29120967844063	0.300759188745641	4.29316784576325	1.76141745351632e-05	xrn4_dne1 - xrn4	0.0022551481033656	Seedling	0.0182783570107514	0.0646265188656529	0.0463481618549015	significant	increase	Both_truncated
AT5G46560.1	1.07159764601622	0.311334695796815	3.44194739771493	0.000577542545023624	xrn4_dne1 - xrn4	0.0400019221758166	Seedling	0.0462843293761168	0.121553884711779	0.0752695553356626	significant	increase	Both_truncated
AT5G46840.1	-1.01103070617628	0.196827856294675	-5.13662407958475	2.79717692341919e-07	xrn4_dne1 - xrn4	7.38629531340379e-05	Seedling	0.0291745389384303	0.0112670470664861	0.0179074918719442	significant	decrease	Both_truncated
AT5G49160.1	-0.619484901858165	0.113052973973957	-5.47959845798368	4.26292177113652e-08	xrn4_dne1 - xrn4	1.63734949845925e-05	Seedling	0.0869462929354036	0.0482107733217833	0.0387355196136203	significant	decrease	Both_truncated
AT5G49910.1	0.33483023045435	0.0765122670216931	4.37616402555969	1.20786135011652e-05	xrn4_dne1 - xrn4	0.0017010714014141	Seedling	0.0404268204020992	0.0561152923661124	0.0156884719640132	significant	increase	Both_truncated
AT5G50310.1	-0.874754589665329	0.220491747304687	-3.96728948071035	7.2694675392837e-05	xrn4_dne1 - xrn4	0.00808250009301938	Seedling	0.0816436915241101	0.0356303418803419	0.0460133496437682	significant	decrease	Both_truncated
AT5G53060.2	0.462543661632474	0.123288210284854	3.7517266295275	0.000175620900185747	xrn4_dne1 - xrn4	0.0157871979422294	Seedling	0.158114301988505	0.231080978641954	0.0729666766534492	significant	increase	Both_truncated
AT5G64050.1	-0.522151936193557	0.118049425943253	-4.42316370470586	9.7265983640682e-06	xrn4_dne1 - xrn4	0.00146767421743529	Seedling	0.0334704242145147	0.020255822095182	0.0132146021193327	significant	decrease	Both_truncated
AT5G65460.2	0.514716679258958	0.132347246870256	3.88913779040339	0.000100600991401967	xrn4_dne1 - xrn4	0.0106259797168327	Seedling	0.0805769342145459	0.131254310325962	0.0506773761114164	significant	increase	Both_truncated
